Year,State,County,BirthRate
2015,Virginia,Accomack,32.718617
2015,Virginia,Albemarle,6.199012
2015,Virginia,Alleghany,28.758836
2015,Virginia,Amelia,24.028481
2015,Virginia,Amherst,20.572326
2015,Virginia,Appomattox,25.624479
2015,Virginia,Arlington,11.432843
2015,Virginia,Augusta,18.752329
2015,Virginia,Bath,13.806399
2015,Virginia,Bedford,14.636057
2015,Virginia,Bland,19.248309
2015,Virginia,Botetourt,11.115559
2015,Virginia,Brunswick,29.811004
2015,Virginia,Buchanan,33.717798
2015,Virginia,Buckingham,23.625395
2015,Virginia,Campbell,20.993162
2015,Virginia,Caroline,27.886162
2015,Virginia,Carroll,28.583707
2015,Virginia,Charles City,17.90014
2015,Virginia,Charlotte,27.563632
2015,Virginia,Chesterfield,12.494687
2015,Virginia,Clarke,13.410403
2015,Virginia,Craig,22.213063
2015,Virginia,Culpeper,21.797997
2015,Virginia,Cumberland,19.88643
2015,Virginia,Dickenson,37.958114
2015,Virginia,Dinwiddie,18.028139
2015,Virginia,Essex,23.39796
2015,Virginia,Fairfax,8.842108
2015,Virginia,Fauquier,12.95078
2015,Virginia,Floyd,19.799038
2015,Virginia,Fluvanna,15.387771
2015,Virginia,Franklin,20.815132
2015,Virginia,Frederick,19.909209
2015,Virginia,Giles,32.221481
2015,Virginia,Gloucester,16.666465
2015,Virginia,Goochland,8.690684
2015,Virginia,Grayson,31.523644
2015,Virginia,Greene,21.27936
2015,Virginia,Greensville,51.171817
2015,Virginia,Halifax,34.870149
2015,Virginia,Hanover,9.001657
2015,Virginia,Henrico,14.223908
2015,Virginia,Henry,27.392886
2015,Virginia,Highland,9.374475
2015,Virginia,Isle of Wight,14.698382
2015,Virginia,James City,14.154512
2015,Virginia,King and Queen,28.928814
2015,Virginia,King George,19.949001
2015,Virginia,King William,17.981241
2015,Virginia,Lancaster,23.348955
2015,Virginia,Lee,43.710463
2015,Virginia,Loudoun,6.225708
2015,Virginia,Louisa,23.705859
2015,Virginia,Lunenburg,32.586754
2015,Virginia,Madison,16.597945
2015,Virginia,Mathews,14.135832
2015,Virginia,Mecklenburg,28.616523
2015,Virginia,Middlesex,23.576276
2015,Virginia,Montgomery,8.722068
2015,Virginia,Nelson,21.787847
2015,Virginia,New Kent,14.667903
2015,Virginia,Northampton,38.446047
2015,Virginia,Northumberland,28.899064
2015,Virginia,Nottoway,35.997757
2015,Virginia,Orange,20.347335
2015,Virginia,Page,26.56393
2015,Virginia,Patrick,23.191004
2015,Virginia,Pittsylvania,19.602494
2015,Virginia,Powhatan,9.949254
2015,Virginia,Prince Edward,10.083211
2015,Virginia,Prince George,15.836028
2015,Virginia,Prince William,16.234288
2015,Virginia,Pulaski,38.439797
2015,Virginia,Rappahannock,15.035972
2015,Virginia,Richmond,24.819135
2015,Virginia,Roanoke,11.523377
2015,Virginia,Rockbridge,23.080198
2015,Virginia,Rockingham,17.828381
2015,Virginia,Russell,36.529712
2015,Virginia,Scott,30.129448
2015,Virginia,Shenandoah,25.728326
2015,Virginia,Smyth,38.505036
2015,Virginia,Southampton,16.365024
2015,Virginia,Spotsylvania,16.391232
2015,Virginia,Stafford,11.896606
2015,Virginia,Surry,16.834057
2015,Virginia,Sussex,35.136092
2015,Virginia,Tazewell,38.903475
2015,Virginia,Warren,23.763202
2015,Virginia,Washington,34.209378
2015,Virginia,Westmoreland,30.273373
2015,Virginia,Wise,42.361131
2015,Virginia,Wythe,34.882888
2015,Virginia,York,6.897646
2015,Virginia,Alexandria,24.984533
2015,Virginia,Bristol,20.856851
2015,Virginia,Buena Vista,13.325555
2015,Virginia,Charlottesville,14.987077
2015,Virginia,Chesapeake,16.298203
2015,Virginia,Colonial Heights,32.64512
2015,Virginia,Covington,19.241902
2015,Virginia,Danville,39.900315
2015,Virginia,Emporia,26.793147
2015,Virginia,Fairfax,11.441051
2015,Virginia,Falls Church,6.378237
2015,Virginia,Franklin,43.867638
2015,Virginia,Fredericksburg,15.985826
2015,Virginia,Galax,53.755857
2015,Virginia,Hampton,22.135603
2015,Virginia,Harrisonburg,9.914922
2015,Virginia,Hopewell,51.680187
2015,Virginia,Lexington,5.887094
2015,Virginia,Lynchburg,15.066157
2015,Virginia,Manassas,36.043696
2015,Virginia,Manassas Park,14.933556
2015,Virginia,Martinsville,54.682881
2015,Virginia,Newport News,25.338856
2015,Virginia,Norfolk,31.639471
2015,Virginia,Norton,35.370883
2015,Virginia,Petersburg,66.91654
2015,Virginia,Poquoson,9.359841
2015,Virginia,Portsmouth,42.206428
2015,Virginia,Radford,7.098138
2015,Virginia,Richmond,29.341401
2015,Virginia,Roanoke,46.237397
2015,Virginia,Salem,16.695801
2015,Virginia,Staunton,24.95638
2015,Virginia,Suffolk,19.706257
2015,Virginia,Virginia Beach,14.734877
2015,Virginia,Waynesboro,42.994569
2015,Virginia,Williamsburg,6.174134
2015,Virginia,Winchester,31.954273
