county,income,RankInUS,RankINState,,,,,
Allegany,21546,1892,24,,,,,
Anne Arundel,45147,45,5,,,,,
Baltimore,38837,118,11,,,,,
Calvert,47608,28,3,,,,,
Caroline,27758,672,18,,,,,
Carroll,42378,75,7,,,,,
Cecil,36019,176,13,,,,,
Charles,46415,32,4,,,,,
Dorchester,24922,1129,20,,,,,
Frederick,41382,84,9,,,,,
Garrett,22733,1573,23,,,,,
Harford,41680,82,8,,,,,
Howard,54348,6,1,,,,,
Kent,30104,461,15,,,,,
Montgomery,54089,8,2,,,,,
Prince George's,43127,66,6,,,,,
Queen Anne's,39190,111,10,,,,,
St. Mary's,37158,143,12,,,,,
Somerset,23379,1432,22,,,,,
Talbot,31885,309,14,,,,,
Washington,29632,494,16,,,,,
Wicomico,28512,596,17,,,,,
Worcester,27586,692,19,,,,,
Baltimore city,24045,1295,21,,,,,
