CountyName,income
Albany,33358
Allegany,24164
Bronx,21944
Broome,28743
Cattaraugus,23421
Cayuga,27568
Chautauqua,24183
Chemung,26135
Chenango,26032
Clinton,26903
Columbia,29785
Cortland,26791
Delaware,24132
Dutchess,42250
Erie,28005
Essex,25002
Franklin,21791
Fulton,23862
Genesee,30955
Greene,27469
Hamilton,23195
Herkimer,23075
Jefferson,25929
Kings,25684
Lewis,25599
Livingston,30981
Madison,29547
Monroe,35337
Montgomery,24068
Nassau,54283
New York,32262
Niagara,28408
Oneida,26710
Onondaga,31783
Ontario,33133
Orange,39198
Orleans,28359
Oswego,29083
Otsego,25099
Putnam,53634
Queens,34186
Rensselaer,31958
Richmond,43861
Rockland,52731
St. Lawrence,23799
Saratoga,36635
Schenectady,31569
Schoharie,26077
Schuyler,25712
Seneca,28604
Steuben,25312
Suffolk,49128
Sullivan,27582
Tioga,31497
Tompkins,27742
Ulster,34033
Warren,30434
Washington,28660
Wayne,32469
Westchester,48405
Wyoming,27515
Yates,24874
